1	admin_user	User Deleted	Deleted user sais (saig.sabbella@gmail.com)	\N	""2025-06-11T09:05:45.902Z""
2	admin_user	booking_created	Created booking for destination ID: 1	{""bookingId"":1}	""2025-06-11T11:28:16.748Z""
3	admin_user	booking_created	Created booking for destination ID: 2	{""bookingId"":2}	""2025-06-11T11:31:55.957Z""
4	admin_user	booking_cancelled	Cancelled booking ID: 2	{""bookingId"":2}	""2025-06-11T11:36:04.277Z""
5	admin_user	booking_created	Created booking for destination ID: 14	{""bookingId"":3}	""2025-06-11T11:44:40.212Z""
57	admin_user	login	Administrator logged into the system	\N	""2025-06-11T20:45:00.000Z""
58	user_010	booking_created	Created booking for Tokyo Cultural Experience	\N	""2025-06-11T19:30:00.000Z""
59	user_011	destination_viewed	Viewed Maldives Luxury Resort details	\N	""2025-06-11T18:45:00.000Z""
60	user_012	profile_updated	Updated personal information and preferences	\N	""2025-06-11T17:20:00.000Z""
61	user_013	support_ticket	Created support ticket for payment inquiry	\N	""2025-06-11T16:15:00.000Z""
62	user_014	booking_cancelled	Cancelled booking for Himalayan Trek	\N	""2025-06-11T15:30:00.000Z""
63	user_015	destination_search	Searched for safari destinations in Kenya	\N	""2025-06-11T14:45:00.000Z""
64	user_016	login	Travel agent logged into dashboard	\N	""2025-06-11T13:20:00.000Z""
65	user_017	booking_payment	Completed payment for Amazon Rainforest expedition	\N	""2025-06-11T12:30:00.000Z""
66	user_018	user_assistance	Provided customer support for booking modification	\N	""2025-06-11T11:45:00.000Z""
67	user_019	financial_report	Generated monthly revenue report	\N	""2025-06-11T10:30:00.000Z""
68	user_020	destination_favorite	Added Galápagos Islands to favorites	\N	""2025-06-11T09:15:00.000Z""
69	user_021	booking_created	Created group booking for Northern Lights tour	\N	""2025-06-11T08:45:00.000Z""
70	user_022	destination_viewed	Viewed European Castle Tour itinerary	\N	""2025-06-10T22:30:00.000Z""
71	user_023	support_response	Responded to customer inquiry about travel insurance	\N	""2025-06-10T21:15:00.000Z""
72	user_024	account_suspended	Account temporarily suspended due to payment issues	\N	""2025-06-10T20:00:00.000Z""
73	user_025	booking_modified	Modified travel dates for Mediterranean cruise	\N	""2025-06-10T19:30:00.000Z""
74	user_026	destination_created	Added new destination: Southeast Asian Adventure	\N	""2025-06-10T18:45:00.000Z""
75	user_027	login	User logged in from mobile device	\N	""2025-06-10T17:20:00.000Z""
76	user_028	support_escalation	Escalated booking issue to senior support	\N	""2025-06-10T16:15:00.000Z""
77	user_029	payment_processed	Processed refund for cancelled Arctic expedition	\N	""2025-06-10T15:30:00.000Z""
78	user_030	destination_reviewed	Left 5-star review for Tokyo Cultural Experience	\N	""2025-06-10T14:45:00.000Z""
79	user_031	booking_created	Created luxury booking for Maldives resort	\N	""2025-06-10T13:20:00.000Z""
80	user_032	account_reactivated	Account reactivated after verification	\N	""2025-06-10T12:30:00.000Z""
81	user_033	user_training	Completed customer service training module	\N	""2025-06-10T11:45:00.000Z""
82	user_034	financial_audit	Conducted quarterly financial audit	\N	""2025-06-10T10:30:00.000Z""
83	user_035	destination_search	Searched for adventure travel options	\N	""2025-06-10T09:15:00.000Z""
84	user_036	booking_consultation	Provided travel consultation for family trip	\N	""2025-06-10T08:45:00.000Z""
85	user_037	destination_viewed	Viewed Amazon Rainforest expedition details	\N	""2025-06-09T22:30:00.000Z""
86	user_038	support_ticket	Created ticket for technical website issue	\N	""2025-06-09T21:15:00.000Z""
87	user_039	expense_approval	Approved marketing expenses for Q2 campaign	\N	""2025-06-09T20:00:00.000Z""
88	user_040	booking_created	Created last-minute booking for weekend getaway	\N	""2025-06-09T19:30:00.000Z""
89	user_041	destination_promotion	Created promotional campaign for safari packages	\N	""2025-06-09T18:45:00.000Z""
90	user_042	login_failed	Failed login attempt - account locked	\N	""2025-06-09T17:20:00.000Z""
91	admin_user	user_management	Updated user roles and permissions	\N	""2025-06-09T16:15:00.000Z""
92	user_010	booking_confirmation	Received confirmation for upcoming trip	\N	""2025-06-09T15:30:00.000Z""
93	user_011	travel_documents	Uploaded required travel documents	\N	""2025-06-09T14:45:00.000Z""
94	user_012	destination_comparison	Compared multiple safari destinations	\N	""2025-06-09T13:20:00.000Z""
95	user_013	support_resolved	Payment inquiry successfully resolved	\N	""2025-06-09T12:30:00.000Z""
96	user_014	booking_rescheduled	Rescheduled trek for better weather conditions	\N	""2025-06-09T11:45:00.000Z""
97	user_015	destination_inquiry	Inquired about group discount options	\N	""2025-06-09T10:30:00.000Z""
98	user_016	client_meeting	Conducted virtual meeting with VIP client	\N	""2025-06-09T09:15:00.000Z""
99	user_017	travel_insurance	Purchased comprehensive travel insurance	\N	""2025-06-09T08:45:00.000Z""
100	user_018	customer_feedback	Collected customer feedback survey responses	\N	""2025-06-08T22:30:00.000Z""
101	user_019	budget_analysis	Analyzed budget variance for travel packages	\N	""2025-06-08T21:15:00.000Z""
102	user_020	destination_planning	Created custom itinerary for client	\N	""2025-06-08T20:00:00.000Z""
103	user_021	group_coordination	Coordinated logistics for group travel	\N	""2025-06-08T19:30:00.000Z""
104	user_022	destination_research	Researched new European destinations	\N	""2025-06-08T18:45:00.000Z""
